Source_ID	Strain	Supergroup	Phylum	Class	Order	Family	Genus	Species	Notes
MMETSP0290	CCMP2878	Alveolate	Apicomplexa	Chromerida	Chromeraceae	Incertae sedis	Chromera	Chromera velia	Archibald 2018
AddRef0046	CCMP3155	Alveolate	Apicomplexa	Chromerida	Vitrellaceae	Incertae sedis	Vitrella	Vitrella brassicaformis	Archibald 2018
MMETSP0288	CCMP3155	Alveolate	Apicomplexa	Chromerida	Vitrellaceae	Incertae sedis	Vitrella	Vitrella brassicaformis	Archibald 2018
MMETSP1451	CCMP3346	Alveolate	Apicomplexa	Chromerida	Vitrellaceae	Incertae sedis	Vitrella	Vitrella brassicaformis	Archibald 2018
MMETSP0372	Grappler Inlet BC	Alveolate	Apicomplexa	Conoidasida	Incertae sedis	Incertae sedis	Lankesteria	Lankesteria abbottii	Archibald 2018
MMETSP0125	ATCC 50986	Alveolate	Ciliate	Colpodea	Cyrtolophosidida	Cyrtolophosidae	Aristerostoma	Aristerostoma sp.	Lynn 2008 (p 365)
MMETSP0127	WH	Alveolate	Ciliate	Colpodea	Cyrtolophosidida	Platyophryidae	Platyophyra	Platyophrya macrostoma	Lynn 2008 (p 365)
MMETSP1395	Stock R1072	Alveolate	Ciliate	Heterotrichea	Heterotrichia	Blepharismidae	Blepharisma	Blepharisma japonicum	Lynn 2008 (p 365)
MMETSP1397	Stock W-24	Alveolate	Ciliate	Heterotrichea	Heterotrichia	Climacostomidae	Climacostomum	Climacostomum virens	Lynn 2008 (p 365)
MMETSP1345	Fabrea salina	Alveolate	Ciliate	Heterotrichea	Heterotrichia	Climacostomidae	Fabrea	Fabrea salina	Lynn 2008 (p 365)
MMETSP0210	COL2	Alveolate	Ciliate	Heterotrichea	Heterotrichia	Condylostomatidae	Condylostoma	Condylostoma magnum	Lynn 2008 (p 365)
MMETSP0467	SPMC105	Alveolate	Ciliate	Litostomatea	Cyclotrichiida	Mesodiniidae	Mesodinium	Mesodinium pulex	Lynn 2008 (p 365)
MMETSP0798	CCMP2563	Alveolate	Ciliate	Litostomatea	Cyclotrichiida	Mesodiniidae	Myrionecta	Myrionecta rubra	Lynn 2008 (p 365)
MMETSP0209	P1	Alveolate	Ciliate	Litostomatea	Pleurostomatida	Litonotidae	Litonotus	Litonotus pictus	Lynn 2008 (p 365)
AddRef0031	Stock d4-2	Alveolate	Ciliate	Oligohymenophorea	Peniculida	Parameciidae	Paramecium	Paramecium tetraurelia	Lynn 2008 (p 365)
MMETSP1018	AH6	Alveolate	Ciliate	Oligohymenophorea	Philasterida	Orchitophryidae	Anophryoides	Anophryoides haemophila	Lynn 2008 (p 365)
MMETSP1019	AH6	Alveolate	Ciliate	Oligohymenophorea	Philasterida	Orchitophryidae	Anophryoides	Anophryoides haemophila	Lynn 2008 (p 365)
MMETSP0018	Bbcil	Alveolate	Ciliate	Oligohymenophorea	Philasterida	Uronematidae	Uronema	Uronema sp.	Lynn 2008 (p 365)
AddRef0042	SB210	Alveolate	Ciliate	Oligohymenophorea	Tetrahymenida	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila	Lynn 2008 (p 365)
MMETSP0472	LIS	Alveolate	Ciliate	Prostomatea	Prorodontida	Colepidae	Tiarina	Tiarina fusus	Lynn 2008 (p 365)
MMETSP0208	S3	Alveolate	Ciliate	Spirotrichea	Choreotrichida	Strombidiidae	Strombidium	Strombidium inclinatum	Lynn 2008 (p 365)
MMETSP0449	ras09	Alveolate	Ciliate	Spirotrichea	Choreotrichida	Strombidiidae	Strombidium	Strombidium rassoulzadegani	Lynn 2008 (p 365)
MMETSP0126	SPMC142	Alveolate	Ciliate	Spirotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	Strombidinopsis acuminatum	Lynn 2008 (p 365)
MMETSP0463	SopsisLIS2011	Alveolate	Ciliate	Spirotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	Strombidinopsis sp	Lynn 2008 (p 365)
MMETSP1380	CT5	Alveolate	Ciliate	Spirotrichea	Euplotida	Euplotidae	Euplotes	Euplotes crassus	Lynn 2008 (p 365)
MMETSP0205	TN1	Alveolate	Ciliate	Spirotrichea	Euplotida	Euplotidae	Euplotes	Euplotes focardii	Lynn 2008 (p 365)
MMETSP0206	TN1	Alveolate	Ciliate	Spirotrichea	Euplotida	Euplotidae	Euplotes	Euplotes focardii	Lynn 2008 (p 365)
MMETSP0213	FSP1.4	Alveolate	Ciliate	Spirotrichea	Euplotida	Euplotidae	Euplotes	Euplotes harpa	Lynn 2008 (p 365)
MMETSP0216	Boccale	Alveolate	Ciliate	Spirotrichea	Protocruziida	Protocruziidae	Protocruzia	Protocruzia adherens	Lynn 2008 (p 365)
AddRef0029	JRB310	Alveolate	Ciliate	Spirotrichea	Sporadotrichida	Oxytrichidae	Oxytricha	Oxytricha trifallax	Lynn 2008 (p 365)
AddRef0030	SB310	Alveolate	Ciliate	Spirotrichea	Sporadotrichida	Oxytrichidae	Oxytricha	Oxytricha trifallax	Lynn 2008 (p 365)
AddRef0041	130c	Alveolate	Ciliate	Spirotrichea	Sporadotrichida	Oxytrichidae	Stylonychia	Stylonychia lemnae	Lynn 2008 (p 365)
MMETSP0123	Fehren 1	Alveolate	Ciliate	Spirotrichea	Tintinnida	Ptychocylididae	Favella	Favella ehrenbergii	Lynn 2008 (p 365)
MMETSP0434	Fe Narragansett Bay	Alveolate	Ciliate	Spirotrichea	Tintinnida	Ptychocylididae	Favella	Favella taraikaensis	Lynn 2008 (p 365)
MMETSP0436	Fe Narragansett Bay	Alveolate	Ciliate	Spirotrichea	Tintinnida	Ptychocylididae	Favella	Favella taraikaensis	Lynn 2008 (p 365)
MMETSP0211	OXSARD2	Alveolate	Ciliate	Spirotrichea	Urostylida	Pseudokeronopsidae	Pseudokeronopsis	Pseudokeronopsis sp.	Lynn 2008 (p 365)
MMETSP1396	Brazil	Alveolate	Ciliate	Spirotrichea	Urostylida	Pseudokeronopsidae	Pseudokeronopsis	Pseudokeronopsis sp.	Lynn 2008 (p 365)
MMETSP1317	Undescribed	Alveolate	Ciliate	Uncertain	Uncertain	Uncertain	Uncertain	Uncertain	Not described
MMETSP0797	DAEP01	Alveolate	Dinoflagellate	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis acuminata	Mordret et al. 2018 - DinoREF
MMETSP1074	PA161109	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium fusus	Mordret et al. 2018 - DinoREF
MMETSP1075	PA161109	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium fusus	Mordret et al. 2018 - DinoREF
MMETSP1436	CCMP2222	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium andersonii	Mordret et al. 2018 - DinoREF
MMETSP0790	OF101	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium catenella	Mordret et al. 2018 - DinoREF
MMETSP0196	CCMP1719	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium fundyense	Mordret et al. 2018 - DinoREF
MMETSP0197	CCMP1719	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium fundyense	Mordret et al. 2018 - DinoREF
MMETSP0347	CCMP1719	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium fundyense	Mordret et al. 2018 - DinoREF
MMETSP0661	AMGDE01CS-322	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium margalefi	Mordret et al. 2018 - DinoREF
MMETSP0328	CCMP113	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium minutum	Mordret et al. 2018 - DinoREF
MMETSP0093	CCMP3105	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium monilatum	Mordret et al. 2018 - DinoREF
MMETSP0095	CCMP3105	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium monilatum	Mordret et al. 2018 - DinoREF
MMETSP0096	CCMP3105	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium monilatum	Mordret et al. 2018 - DinoREF
MMETSP0097	CCMP3105	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium monilatum	Mordret et al. 2018 - DinoREF
MMETSP0378	CCMP1771	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium tamarense	Mordret et al. 2018 - DinoREF
MMETSP0380	CCMP1771	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium tamarense	Mordret et al. 2018 - DinoREF
MMETSP0382	CCMP1771	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium tamarense	Mordret et al. 2018 - DinoREF
MMETSP0384	CCMP1771	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium tamarense	Mordret et al. 2018 - DinoREF
MMETSP0766	CAWD 149	Alveolate	Dinoflagellate	Dinophyceae	Gonyaulacales	Goniodomataceae	Gambierdiscus	Gambierdiscus australes	Mordret et al. 2018 - DinoREF
